name,label
266_102028224_dr1,1_ok
267_102039202_dr1,3_fix_needed
268_102037353_dr1,1_ok
269_102027634_dr1,3_fix_needed
270_102017294_dr1,1_ok
271_102025001_dr1,1_ok
272_102012752_dr1,1_ok
273_102018217_dr1,5_recentering_needed
274_102013128_dr1,1_ok
275_102020015_dr1,1_ok
276_102018179_dr1,3_fix_needed
277_102015538_dr1,1_ok
278_102008479_dr1,5_recentering_needed
279_102012764_dr1,1_ok
280_102019615_dr1,1_ok
281_102030404_dr1,1_ok
282_102016407_dr1,1_ok
283_102152926_dr1,1_ok
284_102014343_dr1,3_fix_needed
285_102164137_dr1,1_ok
286_102013932_dr1,5_recentering_needed
287_102021974_dr1,1_ok
288_102032691_dr1,1_ok
289_102013895_dr1,1_ok
290_102016031_dr1,1_ok
291_102053402_dr1,1_ok
292_102160546_dr1,1_ok
293_102161801_dr1,1_ok
294_102152922_dr1,5_recentering_needed
295_102018190_dr1,5_recentering_needed
296_102009828_dr1,1_ok
297_102155205_dr1,1_ok
298_102017757_dr1,5_recentering_needed
299_102019073_dr1,1_ok
300_102163538_dr1,1_ok
301_102014753_dr1,1_ok
302_102019547_dr1,1_ok
303_102040460_dr1,1_ok
304_102162061_dr1,5_recentering_needed
305_102160617_dr1,1_ok
306_102014343_dr1,1_ok
307_102026017_dr1,1_ok
308_102033846_dr1,1_ok
309_102034955_dr1,1_ok
310_102026531_dr1,1_ok
311_102018190_dr1,5_recentering_needed
312_102042955_dr1,1_ok
313_101378356_dr1,1_ok
314_102039142_dr1,1_ok
315_102013515_dr1,1_ok
316_102023484_dr1,3_fix_needed
317_102030928_dr1,1_ok
318_102012375_dr1,5_recentering_needed
319_102033271_dr1,1_ok
320_102048109_dr1,1_ok
321_102013135_dr1,1_ok
322_102025052_dr1,1_ok
323_102025507_dr1,4_group_scale
324_102036795_dr1,1_ok
325_102164642_dr1,1_ok
326_102042294_dr1,1_ok
327_102048752_dr1,1_ok
328_102035605_dr1,1_ok
329_102030928_dr1,3_fix_needed
330_102007902_dr1,1_ok
331_102042311_dr1,1_ok
332_102045482_dr1,4_group_scale
333_102033209_dr1,1_ok
334_102037991_dr1,4_group_scale
335_102035584_dr1,3_fix_needed
336_102035588_dr1,1_ok
337_102159489_dr1,1_ok
338_102152924_dr1,1_ok
339_102039805_dr1,1_ok
340_102163750_dr1,1_ok
341_102025518_dr1,1_ok
342_102013552_dr1,5_recentering_needed
343_102033199_dr1,1_ok
344_102041061_dr1,5_recentering_needed
345_102022524_dr1,1_ok
346_102036791_dr1,1_ok
347_102010526_dr1,1_ok
348_102013935_dr1,1_ok
349_102020563_dr1,1_ok
350_102039150_dr1,1_ok
351_102024028_dr1,1_ok
352_102010542_dr1,1_ok
353_102027062_dr1,5_recentering_needed
354_102011610_dr1,1_ok
355_102014322_dr1,5_recentering_needed
356_102013932_dr1,1_ok
357_102037991_dr1,5_recentering_needed
358_102018187_dr1,5_recentering_needed
359_102010889_dr1,1_ok
360_102017340_dr1,1_ok
361_102018178_dr1,1_ok
362_102163763_dr1,1_ok
363_102164471_dr1,1_ok
364_102033775_dr1,1_ok
365_102021987_dr1,1_ok
366_101370741_dr1,5_recentering_needed
367_102017779_dr1,1_ok
368_102036220_dr1,1_ok
369_102155941_dr1,4_group_scale
370_102164095_dr1,5_recentering_needed
371_102015141_dr1,3_fix_needed
372_102038561_dr1,1_ok
373_102021009_dr1,4_group_scale
374_102038587_dr1,1_ok
375_102162054_dr1,5_recentering_needed
376_102162071_dr1,1_ok
377_102033832_dr1,1_ok
378_102020967_dr1,5_recentering_needed
379_102012694_dr1,5_recentering_needed
380_102160830_dr1,1_ok
381_102162286_dr1,3_fix_needed
382_102013128_dr1,5_recentering_needed
383_102022434_dr1,5_recentering_needed
384_102044823_dr1,1_ok
385_102033267_dr1,1_ok
386_102020551_dr1,5_recentering_needed
387_102162030_dr1,1_ok
388_102017347_dr1,1_ok
389_102023436_dr1,4_group_scale
390_102026598_dr1,1_ok
391_102009795_dr1,1_ok
392_102027623_dr1,1_ok
393_102158887_dr1,1_ok
394_102040441_dr1,5_recentering_needed
395_102162732_dr1,1_ok
396_102160555_dr1,1_ok
397_102161075_dr1,1_ok
398_102012694_dr1,4_group_scale
399_102163572_dr1,1_ok
400_102010133_dr1,1_ok
401_102046134_dr1,1_ok
402_102161340_dr1,1_ok
403_102039839_dr1,5_recentering_needed
